mz_rt_min,calculated_mw,mz_ratio,rt_min,mode
191.02271_0.796,190.01549,191.02271,0.796,positive
189.02933_5.978,190.0366,189.02933,5.978,negative
191.06635_0.992,190.05907,191.06635,0.992,positive
191.07673_0.898,190.06945,191.07673,0.898,positive
191.09158_2.629,190.0843,191.09158,2.629,positive
191.10269_0.982,190.09544,191.10269,0.982,positive
191.16437_8.148,190.15773,191.16437,8.148,positive
192.03255_1.395,191.02528,192.03255,1.395,positive
190.05031_6.005,191.05759,190.05031,6.005,negative
192.06524_5.998,191.05811,192.06524,5.998,positive
190.05369_4.11,191.06097,190.05369,4.11,negative
233.11325_1.11,191.07942,233.11325,1.11,positive
381.1732_0.88,191.09009,381.1732,0.88,negative
192.12314_0.968,191.11585,192.12314,0.968,positive
192.13837_8.168,191.1311,192.13837,8.168,positive
193.0021_1.525,191.99478,193.0021,1.525,positive
191.00143_1.643,192.00901,191.00143,1.643,negative
214.99802_1.432,192.00901,214.99802,1.432,positive
191.01906_1.637,192.02634,191.01906,1.637,negative
191.05543_1.203,192.063,191.05543,1.203,negative
193.08214_0.968,192.07484,193.08214,0.968,positive
192.01713_0.929,193.02523,192.01713,0.929,negative
194.03272_0.921,193.02544,194.03272,0.921,positive
192.06596_6.508,193.07324,192.06596,6.508,negative
192.98068_1.6,193.98822,192.98068,1.6,negative
177.00722_0.798,194.01045,177.00722,0.798,positive
193.01697_1.615,194.02455,193.01697,1.615,negative
193.03469_1.136,194.04197,193.03469,1.136,negative
193.07099_1.185,194.07869,193.07099,1.185,negative
196.03092_0.925,195.02351,196.03092,0.925,positive
194.04865_2.91,195.05593,194.04865,2.91,negative
389.14306_0.983,195.07511,389.14306,0.983,negative
194.92685_1.585,195.93413,194.92685,1.585,negative
176.9351_1.382,195.95301,176.9351,1.382,negative
194.99625_1.527,196.00399,194.99625,1.527,negative
195.00742_1.421,196.01421,195.00742,1.421,negative
195.05036_1.136,196.05763,195.05036,1.136,negative
197.10103_0.903,196.09376,197.10103,0.903,positive
434.22495_0.965,196.09552,434.22495,0.965,positive
195.81047_1.444,196.81775,195.81047,1.444,negative
196.02781_1.152,197.03508,196.02781,1.152,negative
198.05842_7.645,197.05114,198.05842,7.645,positive
198.0851_1.052,197.07784,198.0851,1.052,positive
196.07211_1.079,197.07941,196.07211,1.079,negative
198.08713_1.081,197.07992,198.08713,1.081,positive
196.94633_0.934,197.95361,196.94633,0.934,negative
199.00815_1.525,198.00089,199.00815,1.525,positive
197.01193_1.48,198.01942,197.01193,1.48,negative
199.1481_8.482,198.1408,199.1481,8.482,positive
197.8074_1.443,198.81468,197.8074,1.443,negative
197.98946_2.07,198.99668,197.98946,2.07,negative
200.04068_0.907,199.0334,200.04068,0.907,positive
200.12823_7.202,199.12096,200.12823,7.202,positive
200.97296_0.803,199.96579,200.97296,0.803,positive
198.99115_1.426,199.9989,198.99115,1.426,negative
399.05364_1.507,200.03025,399.05364,1.507,negative
199.03301_0.997,200.04055,199.03301,0.997,negative
201.07189_0.872,200.06462,201.07189,0.872,positive
199.05841_5.97,200.06569,199.05841,5.97,negative
199.06071_2.106,200.06798,199.06071,2.106,negative
259.08227_1.241,200.06824,259.08227,1.241,negative
199.06938_0.891,200.07666,199.06938,0.891,negative
201.08704_1.015,200.07977,201.08704,1.015,positive
201.12344_1.183,200.11616,201.12344,1.183,positive
201.92274_0.341,200.91554,201.92274,0.341,positive
199.96868_1.407,200.97596,199.96868,1.407,negative
199.96869_1.234,200.97597,199.96869,1.234,negative
201.98393_1.404,200.97666,201.98393,1.404,positive
202.0687_0.899,201.06149,202.0687,0.899,positive
200.05588_1.252,201.06312,200.05588,1.252,negative
200.09234_3.321,201.09962,200.09234,3.321,negative
202.14375_7.658,201.13656,202.14375,7.658,positive
202.61072_0.97,201.6034,202.61072,0.97,positive
200.80485_1.443,201.81213,200.80485,1.443,negative
200.97118_1.843,201.97846,200.97118,1.843,negative
203.00461_0.791,201.99725,203.00461,0.791,positive
200.99702_1.893,202.00429,200.99702,1.893,negative
201.03747_1.515,202.04475,201.03747,1.515,negative
203.05263_1.274,202.04542,203.05263,1.274,positive
201.03987_1.234,202.04732,201.03987,1.234,negative
261.07293_1.185,202.05903,261.07293,1.185,negative
261.09787_1.243,202.08388,261.09787,1.243,negative
247.09345_1.169,202.09522,247.09345,1.169,negative
244.16559_0.905,202.13177,244.16559,0.905,positive
203.13919_1.243,202.13204,203.13919,1.243,positive
203.15035_1.001,202.14326,203.15035,1.001,positive
204.08677_1.166,203.07948,204.08677,1.166,positive
204.08683_0.98,203.07951,204.08683,0.98,positive
202.10792_6.184,203.1152,202.10792,6.184,negative
202.10797_6.864,203.11525,202.10797,6.864,negative
204.12317_1.187,203.11589,204.12317,1.187,positive
202.11915_0.869,203.12649,202.11915,0.869,negative
204.13438_0.851,203.1271,204.13438,0.851,positive
205.0378_0.789,204.03053,205.0378,0.789,positive
239.00886_4.292,204.03984,239.00886,4.292,negative
203.05558_1.218,204.06336,203.05558,1.218,negative
203.06675_1.211,204.07404,203.06675,1.211,negative
205.08199_1.006,204.07472,205.08199,1.006,positive
204.00393_1.322,205.01118,204.00393,1.322,negative
206.04502_5.924,205.03774,206.04502,5.924,positive
204.03338_4.464,205.04068,204.03338,4.464,negative
204.06612_6.945,205.07339,204.06612,6.945,negative
206.08129_6.959,205.07402,206.08129,6.959,positive
204.06941_5.225,205.07669,204.06941,5.225,negative
205.01703_2.249,206.02504,205.01703,2.249,negative
205.0172_1.91,206.02505,205.0172,1.91,negative
205.07143_1.211,206.0791,205.07143,1.211,negative
205.08245_1,206.08973,205.08245,1,negative
207.13744_8.082,206.13026,207.13744,8.082,positive
205.83919_1.445,206.84647,205.83919,1.445,negative
206.01239_1.571,207.0197,206.01239,1.571,negative
206.0454_5.037,207.05268,206.0454,5.037,negative
208.06046_5.029,207.05319,208.06046,5.029,positive
206.08177_6.836,207.08905,206.08177,6.836,negative
208.09677_6.813,207.08961,208.09677,6.813,positive
249.14456_0.998,207.11111,249.14456,0.998,positive
208.61069_0.981,207.60342,208.61069,0.981,positive
206.98816_1.822,207.99544,206.98816,1.822,negative
206.99647_1.582,208.00388,206.99647,1.582,negative
207.00731_1.54,208.01529,207.00731,1.54,negative
207.0505_1.18,208.05786,207.0505,1.18,negative
207.99153_1.612,208.99883,207.99153,1.612,negative
210.06415_0.917,209.05682,210.06415,0.917,positive
208.9748_1.594,209.9823,208.9748,1.594,negative
209.01181_1.515,210.01938,209.01181,1.515,negative
243.94332_0.352,210.90984,243.94332,0.352,positive
210.00723_1.438,211.01452,210.00723,1.438,negative
210.04372_1.445,211.051,210.04372,1.445,negative
212.07984_0.964,211.07256,212.07984,0.964,positive
256.09388_1.018,211.09559,256.09388,1.018,negative
212.10304_1.117,211.09569,212.10304,1.117,positive
210.99156_1.48,211.99911,210.99156,1.48,negative
211.02777_1.848,212.03504,211.02777,1.848,negative
211.02771_1.512,212.03508,211.02771,1.512,negative
211.03307_0.995,212.04059,211.03307,0.995,negative
213.07492_0.921,212.06767,213.07492,0.921,positive
211.06952_0.975,212.07702,211.06952,0.975,negative
211.07198_2.299,212.07925,211.07198,2.299,negative
211.08315_0.864,212.09045,211.08315,0.864,negative
213.12346_7.925,212.11556,213.12346,7.925,positive
213.1234_1.728,212.11613,213.1234,1.728,positive
213.12342_1.186,212.11614,213.12342,1.186,positive
213.14682_8.144,212.13976,213.14682,8.144,positive
214.0509_4.072,213.04362,214.0509,4.072,positive
214.14369_7.788,213.13643,214.14369,7.788,positive
231.17048_3.322,213.13664,231.17048,3.322,positive
214.91747_0.8,213.91019,214.91747,0.8,positive
214.9884_0.803,213.98128,214.9884,0.803,positive
213.00706_1.421,214.01461,213.00706,1.421,negative
215.05485_1.368,214.04766,215.05485,1.368,positive
215.0878_0.874,214.08053,215.0878,0.874,positive
213.08766_2.723,214.09493,213.08766,2.723,negative
215.13915_1.742,214.13187,215.13915,1.742,positive
215.60034_0.872,214.59253,215.60034,0.872,positive
213.88879_1.454,214.89607,213.88879,1.454,negative
216.01466_0.919,215.00738,216.01466,0.919,positive
214.01758_2.382,215.02485,214.01758,2.382,negative
214.05396_3.99,215.06143,214.05396,3.99,negative
216.09791_1.001,215.09051,216.09791,1.001,positive
260.08885_1.023,215.09056,260.08885,1.023,negative
216.14557_1.021,215.13873,216.14557,1.021,positive
216.95065_0.804,215.94334,216.95065,0.804,positive
217.01898_1.554,216.01152,217.01898,1.554,positive
431.04397_1.603,216.0255,431.04397,1.603,negative
215.03236_1.279,216.03963,215.03236,1.279,negative
217.04961_0.876,216.04229,217.04961,0.876,positive
217.082_1.008,216.07468,217.082,1.008,positive
215.06683_1.203,216.07473,215.06683,1.203,negative
215.10309_1.026,216.11049,215.10309,1.026,negative
431.96423_1.711,216.48545,431.96423,1.711,negative
218.04262_0.927,217.03541,218.04262,0.927,positive
216.03088_1.217,217.03816,216.03088,1.217,negative
216.03324_1.824,217.04051,216.03324,1.824,negative
216.04864_5.969,217.05592,216.04864,5.969,negative
216.08733_1.188,217.09481,216.08733,1.188,negative
216.09849_1.013,217.10603,216.09849,1.013,negative
218.11372_0.981,217.10633,218.11372,0.981,positive
216.90903_1.584,217.9163,216.90903,1.584,negative
216.92801_1.376,217.93522,216.92801,1.376,negative
218.94785_0.804,217.94055,218.94785,0.804,positive
216.94398_1.849,217.95126,216.94398,1.849,negative
216.96801_0.801,217.97529,216.96801,0.801,negative
218.98368_0.802,217.9764,218.98368,0.802,positive
217.01728_4.491,218.02456,217.01728,4.491,negative
253.04976_1.231,218.08026,253.04976,1.231,negative
217.08255_1.226,218.08987,217.08255,1.226,negative
218.01254_3.7,219.01984,218.01254,3.7,negative
218.9819_1.527,219.98918,218.9819,1.527,negative
221.01531_0.783,220.00803,221.01531,0.783,positive
221.03315_3.733,220.02594,221.03315,3.733,positive
219.02722_4.991,220.0345,219.02722,4.991,negative
219.05086_1.205,220.05828,219.05086,1.205,negative
219.0619_1.021,220.06918,219.0619,1.021,negative
262.10333_1.101,220.06951,262.10333,1.101,positive
221.07692_0.99,220.06963,221.07692,0.99,positive
219.09822_1.01,220.1055,219.09822,1.01,negative
219.09824_0.899,220.10579,219.09824,0.899,negative
220.06463_1.661,221.07193,220.06463,1.661,negative
220.06473_1.203,221.07201,220.06473,1.203,negative
222.07953_1.589,221.07225,222.07953,1.589,positive
222.07964_1.375,221.07236,222.07964,1.375,positive
220.0822_0.875,221.08958,220.0822,0.875,negative
220.08224_1.147,221.08981,220.08224,1.147,negative
222.09723_1.15,221.09001,222.09723,1.15,positive
222.11205_7.426,221.10489,222.11205,7.426,positive
444.20791_0.934,221.60041,444.20791,0.934,positive
223.02463_0.924,222.01735,223.02463,0.924,positive
221.06642_1.179,222.07402,221.06642,1.179,negative
221.09281_2.968,222.10008,221.09281,2.968,negative
223.10774_2.981,222.10047,223.10774,2.981,positive
223.11781_4.218,222.11052,223.11781,4.218,positive
221.90228_1.428,222.90962,221.90228,1.428,negative
223.94396_0.337,222.93663,223.94396,0.337,positive
221.95098_1.411,222.95826,221.95098,1.411,negative
222.03684_0.864,223.04418,222.03684,0.864,negative
224.05176_0.895,223.04442,224.05176,0.895,positive
222.04371_1.176,223.05099,222.04371,1.176,negative
222.04372_2.359,223.051,222.04372,2.359,negative
222.0438_1.386,223.05108,222.0438,1.386,negative
224.07966_0.958,223.07238,224.07966,0.958,positive
222.07687_4.483,223.08415,222.07687,4.483,negative
224.09158_4.468,223.08433,224.09158,4.468,positive
224.60558_0.864,223.59835,224.60558,0.864,positive
224.9638_1.399,223.95652,224.9638,1.399,positive
222.99148_1.523,223.9988,222.99148,1.523,negative
223.01385_6.589,224.02113,223.01385,6.589,negative
223.08214_1.195,224.08964,223.08214,1.195,negative
225.12341_6.362,224.11613,225.12341,6.362,positive
224.02317_1.429,225.03055,224.02317,1.429,negative
226.03798_1.72,225.03079,226.03798,1.72,positive
224.05959_3.094,225.06685,224.05959,3.094,negative
226.95153_0.908,225.94425,226.95153,0.908,positive
227.00299_1.837,225.99572,227.00299,1.837,positive
225.00715_1.512,226.01448,225.00715,1.512,negative
225.04882_0.994,226.05614,225.04882,0.994,negative
271.07028_3.64,226.07203,271.07028,3.64,negative
225.08779_2.889,226.09507,225.08779,2.889,negative
227.10269_2.891,226.0954,227.10269,2.891,positive
225.09893_0.855,226.10647,225.09893,0.855,negative
227.11767_7.568,226.11039,227.11767,7.568,positive
453.34353_7.449,226.16811,453.34353,7.449,positive
226.05417_3.466,227.06146,226.05417,3.466,negative
228.09768_1.104,227.09054,228.09768,1.104,positive
228.09792_0.958,227.09065,228.09792,0.958,positive
227.02283_1.437,228.03009,227.02283,1.437,negative
227.05578_1.895,228.06305,227.05578,1.895,negative
227.06464_0.993,228.07202,227.06464,0.993,negative
229.09717_5.598,228.08989,229.09717,5.598,positive
227.10338_3.163,228.11066,227.10338,3.163,negative
229.11834_1.192,228.11106,229.11834,1.192,positive
229.11833_3.18,228.11108,229.11833,3.18,positive
229.14357_7.847,228.1366,229.14357,7.847,positive
229.15481_2.875,228.14753,229.15481,2.875,positive
227.96398_1.663,228.97126,227.96398,1.663,negative
227.99698_3.833,229.00426,227.99698,3.833,negative
230.0425_5.007,229.03501,230.0425,5.007,positive
228.0875_4.158,229.09478,228.0875,4.158,negative
230.10242_4.157,229.09507,230.10242,4.157,positive
230.1584_2.895,229.15113,230.1584,2.895,positive
230.18639_1.178,229.17912,230.18639,1.178,positive
230.96623_0.807,229.95893,230.96623,0.807,positive
229.03264_1.535,230.03992,229.03264,1.535,negative
229.03416_1.228,230.04162,229.03416,1.228,negative
229.05929_0.925,230.06657,229.05929,0.925,negative
231.09758_1.051,230.0903,231.09758,1.051,positive
231.0976_1.163,230.09033,231.0976,1.163,positive
229.11908_5.477,230.12636,229.11908,5.477,negative
229.9618_3.212,230.96907,229.9618,3.212,negative
231.98856_0.925,230.98128,231.98856,0.925,positive
230.07788_1.006,231.08532,230.07788,1.006,negative
232.10049_6.978,231.09323,232.10049,6.978,positive
230.1029_5.959,231.11019,230.1029,5.959,negative
230.10287_6.192,231.11019,230.10287,6.192,negative
230.10303_5.177,231.1103,230.10303,5.177,negative
232.11808_6.157,231.11055,232.11808,6.157,positive
232.11795_5.926,231.11068,232.11795,5.926,positive
232.12907_1.036,231.12179,232.12907,1.036,positive
232.92821_0.805,231.92087,232.92821,0.805,positive
232.99927_0.796,231.99199,232.99927,0.796,positive
230.99664_4.675,232.00392,230.99664,4.675,negative
231.05044_1.22,232.05793,231.05044,1.22,negative
231.05958_1.007,232.06685,231.05958,1.007,negative
231.07701_6.12,232.08429,231.07701,6.12,negative
233.09225_6.08,232.0849,233.09225,6.08,positive
233.11327_1.11,232.10596,233.11327,1.11,positive
231.10929_1.008,232.11656,231.10929,1.008,negative
231.13479_2.148,232.14207,231.13479,2.148,negative
233.14963_1.199,232.14241,233.14963,1.199,positive
231.94116_1.515,232.94844,231.94116,1.515,negative
233.95608_1.499,232.94878,233.95608,1.499,positive
232.02811_1.264,233.03584,232.02811,1.264,negative
278.03411_1.412,233.03589,278.03411,1.412,negative
234.1448_0.849,233.13745,234.1448,0.849,positive
234.96119_0.805,233.95391,234.96119,0.805,positive
235.04886_6.023,234.04172,235.04886,6.023,positive
233.04286_6.576,234.05014,233.04286,6.576,negative
217.04953_0.868,234.05283,217.04953,0.868,positive
233.06649_1.204,234.07397,233.06649,1.204,negative
233.07757_1.026,234.08484,233.07757,1.026,negative
235.0925_1.002,234.08523,235.0925,1.002,positive
233.93672_1.509,234.944,233.93672,1.509,negative
234.06148_1.186,235.06879,234.06148,1.186,negative
236.13558_8.064,235.1283,236.13558,8.064,positive
236.92095_0.81,235.91358,236.92095,0.81,positive
234.93472_0.793,235.94193,234.93472,0.793,negative
236.95795_0.805,235.95081,236.95795,0.805,positive
237.00713_4.979,235.99985,237.00713,4.979,positive
237.08697_1.235,236.07955,237.08697,1.235,positive
235.08218_1.193,236.08985,235.08218,1.193,negative
236.01501_0.993,237.02229,236.01501,0.993,negative
236.05968_3.268,237.06696,236.05968,3.268,negative
236.07725_1.175,237.08453,236.07725,1.175,negative
236.96829_1.592,237.97557,236.96829,1.592,negative
221.01225_7.187,238.01558,221.01225,7.187,positive
237.09799_1.215,238.10543,237.09799,1.215,negative
239.13933_7.329,238.13206,239.13933,7.329,positive
237.88782_1.592,238.8951,237.88782,1.592,negative
284.02022_0.869,239.02181,284.02022,0.869,negative
238.02356_0.928,239.03082,238.02356,0.928,negative
238.98664_1.595,239.99386,238.98664,1.595,negative
239.01634_1.021,240.02363,239.01634,1.021,negative
241.0311_1.011,240.02382,241.0311,1.011,positive
239.02292_1.582,240.0302,239.02292,1.582,negative
239.05935_7.322,240.06663,239.05935,7.322,negative
241.19509_8.486,240.18777,241.19509,8.486,positive
221.99911_0.999,241.01699,221.99911,0.999,negative
240.01818_1.461,241.02566,240.01818,1.461,negative
240.0546_1.738,241.06188,240.0546,1.738,negative
242.08463_4.571,241.07735,242.08463,4.571,positive
240.08516_6.279,241.09244,240.08516,6.279,negative
242.92552_0.919,241.91824,242.92552,0.919,positive
241.00225_1.513,242.00952,241.00225,1.513,negative
241.08051_1.005,242.08778,241.08051,1.005,negative
243.13404_4.417,242.12687,243.13404,4.417,positive
241.88333_1.846,242.89064,241.88333,1.846,negative
241.88401_1.464,242.89144,241.88401,1.464,negative
241.97977_1.803,242.98704,241.97977,1.803,negative
242.01274_4.941,243.02001,242.01274,4.941,negative
242.03349_1.437,243.04091,242.03349,1.437,negative
242.04914_5.662,243.05642,242.04914,5.662,negative
244.07927_1.279,243.07199,244.07927,1.279,positive
242.07915_1.208,243.08668,242.07915,1.208,negative
244.12863_1.021,243.12174,244.12863,1.021,positive
302.1359_1.202,243.12203,302.1359,1.202,negative
242.15085_0.868,243.15812,242.15085,0.868,negative
242.15086_0.967,243.15813,242.15086,0.967,negative
244.16561_0.869,243.15834,244.16561,0.869,positive
244.16569_0.954,243.1584,244.16569,0.954,positive
242.96377_1.67,243.9712,242.96377,1.67,negative
245.01349_1.815,244.00625,245.01349,1.815,positive
243.01784_1.426,244.02512,243.01784,1.426,negative
245.07668_1.038,244.06942,245.07668,1.038,positive
243.06214_1.235,244.0695,243.06214,1.235,negative
243.06214_1.739,244.06953,243.06214,1.739,negative
243.08711_1.242,244.09435,243.08711,1.242,negative
245.11327_1.076,244.10599,245.11327,1.076,positive
243.1349_6.032,244.14217,243.1349,6.032,negative
357.13966_0.98,244.15363,357.13966,0.98,negative
244.02845_2.916,245.03573,244.02845,2.916,negative
244.11882_6.906,245.1261,244.11882,6.906,negative
246.1448_1.222,245.13686,246.1448,1.222,positive
244.13003_1.08,245.13735,244.13003,1.08,negative
244.16653_0.861,245.17356,244.16653,0.861,negative
246.18123_0.863,245.17393,246.18123,0.863,positive
244.96384_0.801,245.97112,244.96384,0.801,negative
247.01485_0.802,246.00757,247.01485,0.802,positive
247.0483_0.79,246.04103,247.0483,0.79,positive
245.03642_2.935,246.04369,245.03642,2.935,negative
245.04306_1.436,246.05033,245.04306,1.436,negative
247.05796_1.43,246.05066,247.05796,1.43,positive
245.06283_0.854,246.07012,245.06283,0.854,negative
245.07549_1.009,246.08271,245.07549,1.009,negative
245.0929_7.071,246.10017,245.0929,7.071,negative
245.11421_1.185,246.12149,245.11421,1.185,negative
245.11422_2.438,246.1215,245.11422,2.438,negative
247.12882_2.434,246.12155,247.12882,2.434,positive
247.12889_1.167,246.12159,247.12889,1.167,positive
248.08778_0.99,247.08051,248.08778,0.99,positive
246.09876_4.104,247.10561,246.09876,4.104,negative
280.13999_1.178,247.10645,280.13999,1.178,positive
248.12413_1.022,247.11678,248.12413,1.022,positive
248.12796_7.82,247.12076,248.12796,7.82,positive
248.1316_7.222,247.12432,248.1316,7.222,positive
247.06442_5.117,248.0717,247.06442,5.117,negative
247.08243_1.208,248.08952,247.08243,1.208,negative
247.09341_1.028,248.10063,247.09341,1.028,negative
247.09344_1.166,248.10064,247.09344,1.166,negative
231.09747_1.05,248.10072,231.09747,1.05,positive
249.10811_1.304,248.10089,249.10811,1.304,positive
247.15498_7.299,248.16142,247.15498,7.299,negative
248.96033_0.913,249.9676,248.96033,0.913,negative
249.00748_1.893,250.01476,249.00748,1.893,negative
251.02271_6.622,250.01544,251.02271,6.622,positive
249.02186_1.077,250.02919,249.02186,1.077,negative
249.03809_4.287,250.04537,249.03809,4.287,negative
251.06391_2.075,250.05663,251.06391,2.075,positive
249.06171_1.202,250.06893,249.06171,1.202,negative
251.17949_8.062,250.1723,251.17949,8.062,positive
250.06983_4.168,251.07711,250.06983,4.168,negative
252.10905_1.351,251.10276,252.10905,1.351,positive
235.01254_1.127,252.01582,235.01254,1.127,positive
251.02317_1.509,252.03037,251.02317,1.509,negative
251.02329_1.916,252.03057,251.02329,1.916,negative
251.0233_2.253,252.03058,251.0233,2.253,negative
253.08162_2.597,252.07434,253.08162,2.597,positive
155.04517_1.035,252.0838,155.04517,1.035,negative
251.07779_1.237,252.08499,251.07779,1.237,negative
251.07861_2.559,252.08589,251.07861,2.559,negative
251.10161_0.874,252.10889,251.10161,0.874,negative
253.11834_6.364,252.11106,253.11834,6.364,positive
251.11489_0.977,252.12217,251.11489,0.977,negative
275.89188_0.909,252.90261,275.89188,0.909,positive
252.97887_4.684,253.98614,252.97887,4.684,negative
255.01739_5,254.01027,255.01739,5,positive
253.01366_1.522,254.02092,253.01366,1.522,negative
253.0388_1.933,254.04608,253.0388,1.933,negative
253.04997_1.356,254.05725,253.04997,1.356,negative
255.06457_1.34,254.05728,255.06457,1.34,positive
255.08442_0.959,254.07715,255.08442,0.959,positive
255.09739_0.986,254.09011,255.09739,0.986,positive
253.09298_1.181,254.10034,253.09298,1.181,negative
253.1307_3.037,254.13799,253.1307,3.037,negative
255.1452_3.028,254.13801,255.1452,3.028,positive
255.21067_8.504,254.20339,255.21067,8.504,positive
253.92327_1.509,254.93055,253.92327,1.509,negative
254.013_6.42,255.02028,254.013,6.42,negative
256.0639_2.614,255.05662,256.0639,2.614,positive
256.06954_1,255.06226,256.06954,1,positive
256.08474_2.482,255.07749,256.08474,2.482,positive
254.07047_2.503,255.07774,254.07047,2.503,negative
256.26343_8.135,255.25616,256.26343,8.135,positive
254.98165_1.677,255.98892,254.98165,1.677,negative
255.09862_2.45,256.10598,255.09862,2.45,negative
257.11377_1.255,256.10645,257.11377,1.255,positive
255.10976_0.862,256.11704,255.10976,0.862,negative
257.14962_5.992,256.14251,257.14962,5.992,positive
255.82221_1.426,256.82949,255.82221,1.426,negative
256.05937_1.554,257.06665,256.05937,1.554,negative
256.05938_1.262,257.06666,256.05938,1.262,negative
258.07961_3.783,257.07234,258.07961,3.783,positive
258.07983_3.147,257.07256,258.07983,3.147,positive
186.07618_1.146,257.09007,186.07618,1.146,positive
258.10848_1.022,257.1012,258.10848,1.022,positive
258.10997_1.176,257.10269,258.10997,1.176,positive
258.89943_0.926,257.89215,258.89943,0.926,positive
258.92416_0.786,257.91687,258.92416,0.786,positive
257.02791_1.839,258.03518,257.02791,1.839,negative
257.03419_1.432,258.04147,257.03419,1.432,negative
259.06407_0.9,258.0568,259.06407,0.9,positive
259.06921_0.922,258.06193,259.06921,0.922,positive
257.07824_2.428,258.08555,257.07824,2.428,negative
257.10119_3.693,258.10846,257.10119,3.693,negative
260.05312_1.295,259.04584,260.05312,1.295,positive
258.04276_4.048,259.05004,258.04276,4.048,negative
258.07081_1.014,259.07812,258.07081,1.014,negative
258.09754_7.23,259.10483,258.09754,7.23,negative
301.1502_1.034,259.11662,301.1502,1.034,positive
260.17208_0.93,259.16513,260.17208,0.93,positive
258.18231_0.951,259.18959,258.18231,0.951,negative
258.81904_1.418,259.82632,258.81904,1.418,negative
242.94656_0.77,259.95002,242.94656,0.77,positive
261.00546_0.799,259.99819,261.00546,0.799,positive
259.01301_1.422,260.02028,259.01301,1.422,negative
259.05955_1.268,260.06681,259.05955,1.268,negative
259.07866_0.851,260.08593,259.07866,0.851,negative
259.08235_1.22,260.08971,259.08235,1.22,negative
259.09154_1.015,260.09874,259.09154,1.015,negative
259.13_1.199,260.13722,259.13,1.199,negative
261.1445_1.564,260.13722,261.1445,1.564,positive
261.14455_4.09,260.13727,261.14455,4.09,positive
261.1446_1.2,260.13733,261.1446,1.2,positive
259.13027_5.46,260.13735,259.13027,5.46,negative
259.13009_3.895,260.13737,259.13009,3.895,negative
261.14464_3.885,260.13737,261.14464,3.885,positive
259.13013_4.124,260.13741,259.13013,4.124,negative
259.13026_2.472,260.13754,259.13026,2.472,negative
259.81623_1.429,260.82351,259.81623,1.429,negative
260.00537_0.923,261.01292,260.00537,0.923,negative
260.02351_2.081,261.03079,260.02351,2.081,negative
260.08871_1.028,261.09565,260.08871,1.028,negative
260.12522_1.019,261.13246,260.12522,1.019,negative
262.13983_1.006,261.13251,262.13983,1.006,positive
260.99851_1.009,262.00579,260.99851,1.009,negative
261.00761_4.302,262.01488,261.00761,4.302,negative
263.02576_0.791,262.01848,263.02576,0.791,positive
243.01784_1.43,262.03569,243.01784,1.43,negative
261.02937_5.983,262.03664,261.02937,5.983,negative
261.06154_1.216,262.069,261.06154,1.216,negative
261.07282_1.04,262.08008,261.07282,1.04,negative
261.07292_1.227,262.08013,261.07292,1.227,negative
261.12453_5.259,262.1318,261.12453,5.259,negative
263.13911_1.282,262.13181,263.13911,1.282,positive
261.16117_6.895,262.16844,261.16117,6.895,negative
262.03903_3.424,263.0463,262.03903,3.424,negative
262.09306_1.215,263.10068,262.09306,1.215,negative
264.1229_6.734,263.11567,264.1229,6.734,positive
262.10877_6.747,263.11604,262.10877,6.747,negative
262.92993_0.797,263.93721,262.92993,0.797,negative
265.02308_1.269,264.0158,265.02308,1.269,positive
263.05811_1.223,264.06541,263.05811,1.223,negative
263.0973_0.921,264.10457,263.0973,0.921,negative
263.14038_3.923,264.14766,263.14038,3.923,negative
263.99677_2.494,265.00414,263.99677,2.494,negative
264.05477_1.214,265.06204,264.05477,1.214,negative
264.05549_1.419,265.06232,264.05549,1.419,negative
264.08796_6.816,265.09525,264.08796,6.816,negative
266.10566_1.245,265.09838,266.10566,1.245,positive
266.12385_1.134,265.11647,266.12385,1.134,positive
265.07521_6.03,266.08248,265.07521,6.03,negative
265.09327_1.2,266.10042,265.09327,1.2,negative
265.11959_3.326,266.12687,265.11959,3.326,negative
267.13437_7.327,266.12707,267.13437,7.327,positive
289.12588_4.966,266.13656,289.12588,4.966,positive
267.17431_7.625,266.16704,267.17431,7.625,positive
267.17431_8.062,266.16708,267.17431,8.062,positive
266.08827_1.144,267.09555,266.08827,1.144,negative
266.0884_1.228,267.09563,266.0884,1.228,negative
268.10378_1.236,267.09667,268.10378,1.236,positive
268.14037_1.631,267.1331,268.14037,1.631,positive
327.03237_1.179,268.01872,327.03237,1.179,negative
267.01805_1.592,268.02533,267.01805,1.592,negative
269.08782_1.239,268.08037,269.08782,1.239,positive
267.07335_1.243,268.08059,267.07335,1.243,negative
269.08782_2.243,268.08066,269.08782,2.243,positive
267.07375_2.851,268.08102,267.07375,2.851,negative
267.07383_3.451,268.0811,267.07383,3.451,negative
267.09079_6.079,268.09807,267.09079,6.079,negative
269.16081_1.121,268.15354,269.16081,1.121,positive
269.19004_7.633,268.18278,269.19004,7.633,positive
267.94434_1.323,268.95169,267.94434,1.323,negative
268.0863_3.803,269.09358,268.0863,3.803,negative
133.98498_1.746,269.98452,133.98498,1.746,negative
315.03159_0.856,270.03345,315.03159,0.856,negative
269.03407_2.246,270.04113,269.03407,2.246,negative
269.08824_1.069,270.09489,269.08824,1.069,negative
269.1147_6.373,270.12198,269.1147,6.373,negative
271.1655_6.437,270.15839,271.1655,6.437,positive
271.1693_8.418,270.16208,271.1693,8.418,positive
