"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"430.71016_5.809",-1.09158075981432,21.9271177547077,-3.53604672761907,0.000800831278552555,0.00192869012101564,-1.42873399107331
"198.0851_1.052",-2.02515228192973,25.3180743860183,-3.52888675193932,0.000818881931743336,0.00196269621400243,-1.44978992865053
"177.02453_1.517",1.56991281145086,21.7908334033741,3.52455936316028,0.000829978475805235,0.00198294698047247,-1.46250245199266
"244.16566_0.862",1.15278443163501,24.1044698457071,3.50446483839364,0.000883406794230107,0.00210723467795653,-1.52140124076389
"144.06562_1.156",1.25742237459773,26.2699209834767,3.48956906872074,0.000925105829466999,0.00220319321548738,-1.56492045905516
"587.2871_7.287",1.85892884385304,19.8677742987696,3.45763236494167,0.00102089807474145,0.0024236217368664,-1.65781671518112
"212.10304_1.117",1.01700709818066,23.540094777591,3.44731741800246,0.0010537985116762,0.00249776925710594,-1.68770032827482
"297.18339_7.377",-1.24853680433854,20.504985212899,-3.44082222197224,0.00107502904846449,0.00254406558388595,-1.70648741355521
"475.22251_6.353",-1.00940463234619,20.5900325838895,-3.43763440553707,0.0010855967463529,0.00256502196535748,-1.7156994656913
"203.05263_1.274",1.0562162963849,25.0863404027487,3.42454826004044,0.00113001889885973,0.00266577686691635,-1.75345608445211
"431.31365_8.47",-1.28530300772576,22.382692482389,-3.41740835723866,0.00115497714753384,0.00272037070283914,-1.77401605916833
"291.06988_2.85",1.57980987042301,20.0516190677018,3.40591490513439,0.00119625418885194,0.00280436427996903,-1.8070524326297
"198.0374_1.468",1.23618151723354,24.3030851383225,3.4033040401277,0.00120582360684791,0.0028223808797784,-1.81454666430873
"227.10269_2.891",1.74807439190023,21.0887722009294,3.4003138939845,0.00121687225484718,0.00283995454635048,-1.82312487039214
"301.21657_8.514",1.55322219924194,24.0036343112947,3.40024623098526,0.00121712337700735,0.00283995454635048,-1.82331892541318
"497.13411_6.29",1.52734377364745,19.332713314049,3.39815940052069,0.00122489251539372,0.00285363761751133,-1.82930261199655
"273.13114_4.829",-1.03710460406034,22.2015041042799,-3.39125017825723,0.00125095165647876,0.00290982233137451,-1.84909627653425
"134.11768_1.123",1.221151451311,25.0228421505,3.39019280375354,0.00125498572140206,0.00291468001652757,-1.85212308254534
"121.0167_0.788",1.64147057819092,27.3569229881422,3.38681799057568,0.00126794376678814,0.0029400836119478,-1.86177948269744
"382.25953_7.826",1.36069444707892,19.6927090834394,3.38632449360091,0.00126984919688266,0.0029400836119478,-1.86319099223916
"300.28967_8.209",1.31299896842286,22.0622096074698,3.38010383530422,0.00129410127427897,0.00299161066183625,-1.88097160514863
"329.2114_7.965",-1.56147511964303,23.1417734467649,-3.29892975380736,0.00165353689215637,0.00381663831194183,-2.11096282274034
"167.04535_4.19",1.79141336516995,21.0908789647576,3.29148946238041,0.00169082430525192,0.00389071399273022,-2.13185278556798
"388.20861_6.932",1.56282957631747,18.8791936169461,3.27244903804265,0.00178989091088067,0.0040997807102435,-2.18516465129806
"427.16279_7.741",-1.10834841374081,20.5364622372456,-3.26393454331676,0.00183593979745956,0.00419883636121286,-2.20893571490185
"345.20651_7.801",-1.31709661208944,22.1873959902869,-3.21569323269871,0.00211863695858353,0.00482327988443484,-2.34280638358255
"254.02342_7.177",1.03176572741559,18.7843832846281,3.21433392952687,0.00212716670375906,0.0048353501096071,-2.34655837923713
"167.10501_7.201",-2.08501214173936,19.3236153070151,-3.2112367233869,0.0021467227128998,0.00487241003624833,-2.35510325652423
"244.16559_0.905",1.32998497461421,24.4069948686643,3.2044432894229,0.00219021059577184,0.00496239525595283,-2.37382548165553
