"mz_rt_min","tr1_vs_ctrl","tr2_vs_ctrl","tr2_tr1_vs_ctrl","tr2_vs_tr1","AveExpr","F","P.Value","adj.P.Val"
"298.09691_3.794",0.249089441055968,3.04970312552678,3.48495734607074,2.80061368447082,20.7721567208357,45.0338389094191,3.20925388569565e-15,4.30417579963887e-14
"175.14424_0.937",-0.0328061732438137,3.13399755995544,2.68296483646692,3.16680373319926,22.4357225231545,44.8804743408821,3.43904785371637e-15,4.57393364544278e-14
"589.30266_7.722",-0.00522824849719454,-2.88038079580524,-3.84600708634795,-2.87515254730804,22.4495282469489,44.6224574271816,3.86480033503394e-15,5.0977035824084e-14
"486.2237_7.81",-0.112926380239245,-2.56128097171445,-2.48857932830212,-2.4483545914752,20.4132370522219,44.427721570464,4.22199598889274e-15,5.52320131005968e-14
"230.0425_5.007",-0.203429275730773,-2.13396029412332,-2.19689417304184,-1.93053101839255,21.9915555866069,44.3895673901659,4.29589037107369e-15,5.57417970100293e-14
"230.18639_1.178",0.275306644674191,2.45373422332967,2.68861396127817,2.17842757865548,24.8686876676133,44.1979326786619,4.68778977291437e-15,6.0336390948156e-14
"224.60572_0.875",-0.104545262560148,1.71434581487548,2.62520833381689,1.81889107743563,19.6898729885316,44.1802762401239,4.72571069343284e-15,6.03378741337505e-14
"373.27381_8.504",0.0665437664409849,-1.36285135937631,-1.27686150073859,-1.42939512581729,31.208920777052,43.9509631353455,5.24804858683354e-15,6.64752820998915e-14
"231.98856_0.925",0.530568596236128,3.00926925362768,2.96608473327284,2.47870065739155,21.9564271751956,43.7868354775973,5.65829892038777e-15,7.11074415506998e-14
"344.1819_1.197",-0.277421919120078,-2.6617487357534,-2.55130749257616,-2.38432681663333,22.5113319235971,43.5034658650433,6.44644542013091e-15,8.03791163322573e-14
"342.13958_0.883",-0.15007054067198,6.77656950367429,5.04938699210522,6.92664004434627,22.5936776746834,43.4534670501224,6.59689009569086e-15,8.16173379280823e-14
"292.10261_1.209",0.101609570560798,2.47953740027877,2.17633879959947,2.37792782971797,24.522637475509,43.3694401925303,6.85795433066871e-15,8.41945777826713e-14
"188.17583_0.848",-0.211673931097185,3.08832610894857,3.25948060755367,3.30000004004575,23.5171588816603,43.320333811147,7.01544762053312e-15,8.54706442929073e-14
"242.92552_0.919",0.178991598957665,-3.67215177367903,-3.35910481436085,-3.85114337263669,23.1360703385918,43.2797720335639,7.14835542256718e-15,8.64301155637668e-14
"689.28526_7.413",0.308221612994735,-1.90310101992107,-2.10009273061345,-2.21132263291581,19.7049303188002,43.1431719390246,7.61541932105312e-15,9.13850318526375e-14
"396.16177_0.964",0.0776516853751507,2.06077878251607,2.94282995671635,1.98312709714092,18.5078580782719,43.1182600294649,7.70394496479974e-15,9.17574340583611e-14
"359.1812_1.181",0.0131178916982157,4.47429460280594,5.19607131666712,4.46117671110772,22.1434527135073,42.6391954090068,9.62992917415009e-15,1.13847162681063e-13
"468.24987_7.201",-0.187522504493108,-2.6318210136446,-2.45503626776999,-2.4442985091515,22.0804652330265,42.2671069142955,1.14657897148113e-14,1.33943024112743e-13
"284.099_2.284",0.721500629383333,-3.62117208361915,-3.65551172160965,-4.34267271300248,22.6322811284104,42.2612139606649,1.14976154783495e-14,1.33943024112743e-13
"116.07098_0.876",-0.138006300449742,2.89652510398282,2.17065235336688,3.03453140443257,26.5277595427826,42.1842430994058,1.19217980888327e-14,1.37823613770967e-13
"303.17037_9.131",-0.334698908313586,-2.11159805830554,-3.21969116513502,-1.77689914999195,24.343961397309,42.1697548453111,1.20034350339376e-14,1.37823613770967e-13
"194.03272_0.921",0.515760716620759,2.4317210015053,2.31357455126566,1.91596028488454,22.7968728282283,42.1145804419872,1.23196560491176e-14,1.4044407895994e-13
"82.06583_1.002",0.0390783380474932,2.96437677446342,2.98181097474735,2.92529843641593,21.5592945901661,41.9674180773316,1.32059176094603e-14,1.49479748260275e-13
"104.10749_1.082",0.19263722027045,1.39580556160444,2.34761816701193,1.20316834133399,30.996572504014,41.8386998720195,1.40351132490424e-14,1.57746765813181e-13
"215.60034_0.872",0.0511624739709223,1.59966971158087,2.38493034626177,1.54850723760995,19.4141615304908,41.4218286857476,1.71098941319086e-14,1.90960776465218e-13
