"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"588.89797_0.906",-5.40113212783088,19.9936760253043,-12.7091503640998,1.8038580988448e-18,8.81042271435775e-17,31.7566060091311
"323.16197_7.408",-3.8768931699254,19.7718808294182,-12.5671947438619,2.92591871545444e-18,1.35978536846109e-16,31.280321675491
"172.09712_5.958",2.81783757196923,22.0134469799239,12.5667296124346,2.93057191478683e-18,1.35978536846109e-16,31.2787566698143
"238.02356_0.928",3.93186516303016,20.1914296727282,12.4516227345118,4.346194932188e-18,1.9674482424734e-16,30.8905770924845
"199.05841_5.97",6.40015730671981,21.9091833952885,12.427048815097,4.7287300485449e-18,2.08964832621413e-16,30.807477366902
"607.31465_8.066",-3.73196100874308,21.2352044997779,-12.3796509050421,5.56546006788158e-18,2.40220788046238e-16,30.6469691403257
"393.26474_8.255",-3.35381609336449,21.457394926762,-12.3701587784476,5.75024167063457e-18,2.42555648652222e-16,30.6147892030373
"202.10797_6.864",4.00739445594512,18.9867725035781,12.2971867195618,7.39439063042967e-18,3.04977533557277e-16,30.3670027934101
"323.16203_6.887",-3.88541595926151,19.3149617279972,-12.2651537350349,8.25921831931949e-18,3.33241504362108e-16,30.2580079210523
"164.03775_1.129",2.956658135786,26.010456613072,12.197087323007,1.04520073166578e-17,4.12743097440785e-16,30.025956238102
"307.10383_1.224",-2.55559238945866,20.9136961473629,-12.1083944204879,1.42178291871935e-17,5.49756061904815e-16,29.7226681777777
"353.10842_1.183",-2.30654704743906,20.0181379309974,-11.9857096158794,2.17970333725531e-17,8.25618243662418e-16,29.3014395887571
"408.1626_0.996",5.13112399358845,20.3661448142314,11.952417438194,2.44847409200368e-17,9.08873582951765e-16,29.1867933375237
"261.16114_7.407",-3.1735368362482,19.2635655001186,-11.8750703332722,3.20960505246884e-17,1.16804450536905e-15,28.9198790023881
"260.00537_0.923",3.07035588752367,19.4416490341965,11.7263872543231,5.41185932314352e-17,1.93161748149123e-15,28.4046081559321
"136.07559_7.393",-3.01351853379923,19.2116265405918,-11.6582215382972,6.88290736341678e-17,2.41031623896256e-15,28.1674187689823
"343.9672_0.927",3.07468223115749,18.9302747969387,11.651406289275,7.05060375396564e-17,2.42331862358523e-15,28.1436714917342
"422.17838_0.999",5.07505340189437,20.8043149383924,11.6302056271861,7.59912463672781e-17,2.56435915013942e-15,28.0697609921495
"621.01035_0.897",-3.71191247342505,19.2947338365736,-11.6068683110638,8.25292976612445e-17,2.73525672248696e-15,27.9883348022498
"303.13343_6.99",-3.54466862337341,19.1165888563661,-11.5921124556749,8.69535612522871e-17,2.83132999446044e-15,27.9368140838581
"215.47775_1.712",-2.84969886341428,19.5374056824249,-11.4707038000615,1.33762381748216e-16,4.2190984333645e-15,27.5118525337517
"134.97468_1.621",-2.4935934542401,20.4002252684491,-11.4699526586635,1.34120047181307e-16,4.2190984333645e-15,27.5092174908363
"343.96683_0.925",2.95824746713283,18.9874989427049,11.4501356069922,1.43913200945524e-16,4.45171501591489e-15,27.4396723226288
"473.07063_1.551",-3.19132419445763,20.662140621753,-11.2892392093896,2.55492562347073e-16,7.7736753396093e-15,26.8731875247534
"672.85986_0.919",-3.60152817614567,19.0901639928559,-11.2768650343167,2.6705868860694e-16,7.99453106539486e-15,26.8294853303192
"520.91031_0.907",-5.37552809164481,20.8569269085128,-11.2192192251628,3.28314790503211e-16,9.67225795514221e-15,26.6256432505344
"331.16256_1.046",2.74504110338889,20.6508233937329,11.1721629027293,3.88713357514807e-16,1.12726873679294e-14,26.4589391075734
"413.13011_1.127",-2.18594909023982,21.4382178986437,-11.1632853267817,4.01308696342998e-16,1.14589067755785e-14,26.4274580411908
"131.08135_0.883",3.3518257240899,22.7135065255034,11.0859812512537,5.2996664161697e-16,1.49033043460772e-14,26.1529144030629
"222.03684_0.864",3.72902631360681,19.7330360611588,11.0040240473686,7.12244249871636e-16,1.97302287725635e-14,25.8610401192309
"509.21013_1.008",4.01395161057247,19.214625647274,10.9870269080684,7.57351598137561e-16,2.06712436197546e-14,25.8004050162472
"310.06038_1.425",-2.71364358965169,22.006044265327,-10.9333288967997,9.19704339119242e-16,2.47387138174683e-14,25.6086126061431
"196.07211_1.079",3.8350956624318,22.2603102242716,10.918717033286,9.69676387995249e-16,2.57102768017026e-14,25.5563628880241
"389.13245_6.972",-3.10313083765468,18.6242787183561,-10.8358962114443,1.3094170215923e-15,3.42292674940185e-14,25.2597203054051
"245.06283_0.854",4.50409382621389,20.3336974723902,10.8221528765624,1.37644573885097e-15,3.54817123792695e-14,25.2104152700757
"259.18134_8.016",-2.62023290105319,19.5565076535581,-10.7595625610539,1.72830957771337e-15,4.39416791265208e-14,24.9855825210947
"165.04095_3.372",3.97616718414196,21.0340568170814,10.7533736206606,1.7676972165562e-15,4.43357572152475e-14,24.9633256020041
"222.07687_4.483",2.34390456723911,22.3208879204676,10.7464588139079,1.81277665350374e-15,4.48601795853725e-14,24.9384528979186
"475.08782_1.589",-3.90662408320378,20.237390232412,-10.6730347209802,2.36930159369277e-15,5.78608389196551e-14,24.6739949357139
"604.87211_0.918",-4.37837542035082,20.1725258639962,-10.6316989922278,2.75549567104441e-15,6.64181813695899e-14,24.5248324340254
"152.07069_6.888",-2.27110574261447,18.2760266357396,-10.5980164544413,3.11673885269598e-15,7.41624014179967e-14,24.403138748171
"299.1701_0.885",3.79488176159263,19.6843973844041,10.4009319207162,6.42494272220823e-15,1.50945489777449e-13,23.68844602497
"459.1357_1.125",-3.50836107450134,22.241534949757,-10.3715631729466,7.15892641543988e-15,1.64216729851286e-13,23.5815650723384
"296.04466_1.411",-2.48063303393953,21.7728867624971,-10.3712653919067,7.16678616269081e-15,1.64216729851286e-13,23.5804808659128
"223.01385_6.589",3.5575355248198,18.6653601077569,10.3678611112862,7.2572607012912e-15,1.64261900751176e-13,23.5680853330731
"329.05508_1.45",-2.96316032799505,20.1054939361727,-10.3500552797043,7.74958836277928e-15,1.712351470443e-13,23.5032301559625
"239.02292_1.582",-2.79088375124443,20.7637439068627,-10.3500455438203,7.74986656881529e-15,1.712351470443e-13,23.5031946846438
